stop_id,latitude,longitude
102000118,37.5339127002,127.0084445845
102000119,37.5337549896,127.0087002913
102000120,37.5215595386,126.9660096214
102000121,37.5215734809,126.9675282802
102000122,37.5212831472,126.9684808450
102000123,37.5206562990,126.9718842721
102000124,37.5201804898,126.9727097830
102000125,37.5198497731,126.9745085046
102000126,37.5190775256,126.9762479627
102000127,37.5189178471,126.9775234206
102000128,37.5183827987,126.9784408808
102000129,37.5185336834,126.9787120007
102000130,37.5177043320,126.9811234284
102000131,37.5179369530,126.9851053606
102000132,37.5177490000,126.9852030000
102000133,37.5516700140,126.9628215994
102000134,37.5542153265,126.9664230215
102000135,37.5444790000,126.9707990000
102000136,37.5422202391,126.9709244565
102000137,37.5448468654,126.9672216718
102000138,37.5448412411,126.9664464653
102000139,37.5449594985,126.9641094647
102000140,37.5451307674,126.9643096929
102000141,37.5460839723,126.9632996424
102000142,37.5467910299,126.9625778991
102000143,37.5458806239,126.9591928852
102000144,37.5437890449,126.9576684412
102000145,37.5422095196,126.9617671315
102000146,37.5416239572,126.9622336676
102000147,37.5412992546,126.9620007403
102000148,37.5387860159,126.9610378658
102000149,37.5397768030,126.9574338661
102000150,37.5396254142,126.9572103137
102000151,37.5380144603,126.9600336494
102000152,37.5379738635,126.9598809227
102000153,37.5363479221,126.9609679808
102000154,37.5367260000,126.9609210000
102000155,37.5345701678,126.9622225151
102000156,37.5346611171,126.9619447091
102000157,37.5328348806,126.9636681810
102000158,37.5325900000,126.9638820000
102000159,37.5300338589,126.9676784797
102000161,37.5288666127,126.9658224646
102000162,37.5275756153,126.9647596200
